STT,Tên doanh nghiệp,Địa chỉ,Tên sản phẩm,Mã hồ sơ,Nhóm sản phẩm,Ngày công bố,Ghi chú
36112,CÔNG TY TNHH CHALLENGE PEOPLE VIỆT NAM,"tầng 2, ct2, khu trung tâm hành chính mới hà đông, Phường Hà Cầu, Quận Hà Đông, Thành phố Hà Nội",Thực phẩm bổ sung: Mother's Breakfast S,20.09.100.22724,,30-09-2020,
36113,CÔNG TY TNHH V MEDIA & CULTURE,"tầng 2, tòa nhà ladeco, số 266 đội cấn, Phường Liễu Giai, Quận Ba Đình, Thành phố Hà Nội",CHIẾT XUẤT HỒNG SÂM LÊN MEN ( FERMENTED RED GINSENG EXTRACT STICK),20.09.100.22723,,28-09-2020,
36116,CÔNG TY TNHH THƯƠNG MẠI QUỐC TẾ VIỆT AN,"lô u05 liền kề 11, khu d, khu đô thị mới dương nội, Phường Yên Nghĩa, Quận Hà Đông, Thành phố Hà Nội",Găng tay tự hủy sinh học,20.09.100.22720,,28-09-2020,
36117,Công ty cổ phần Damo Group,"lô số 9+10, khu nhà ở thấp tầng, số 49, ngõ 15, đường an dương vương, Phường Phú Thượng, Quận Tây Hồ, Thành phố Hà Nội","Bột ăn dặm - Sản phẩm dinh dưỡng chế biến từ ngũ cốc cho trẻ từ 6-36 tháng tuổi DANALAC - BABY CEREAL MILK WITH WHEAT CEREAL, 250g",20.09.100.22719,,1/10/2020,
36118,Công ty TNHH Gốm Sứ Trung Hạnh,"số 1, xóm 6, thôn giang cao, Xã Bát Tràng, Huyện Gia Lâm, Thành phố Hà Nội",Bình (lọ) thủy tinh có nắp,20.09.100.22716,,26-09-2020,
36120,CÔNG TY CỔ PHẦN KIDS PLAZA,"Số 20 Thái Thịnh, Phường Thịnh Quang, Quận Đống Đa, Thành phố Hà Nội",Thực phẩm bổ sung Ngũ cốc Calbee,20.09.100.22714,,28-09-2020,
36121,CÔNG TY TNHH CÂY DƯỢC LIỆU LA HIÊN,"xóm làng lai, Xã La Hiên, Huyện Võ Nhai, Tỉnh Thái Nguyên",VIÊN UỐNG NGỦ NGON LA HIÊN,20.09.100.22713,,25-09-2020,
36122,CÔNG TY TNHH ĐÔNG DƯỢC BÀ VÂN,"số 1 phố đặng dung, Phường Trúc Bạch, Quận Ba Đình, Thành phố Hà Nội",TRÀ DÂY SỮA,20.09.100.22712,,25-09-2020,
36123,CÔNG TY TNHH XUẤT NHẬP KHẨU HSH VIỆT NAM,"Tầng 6, số 104 Trần Duy Hưng, Phường Trung Hoà, Quận Cầu Giấy, Thành phố Hà Nội",Bình nước DETOX mã P8BOT005H,20.09.100.22711,,25-09-2020,
36124,CÔNG TY CỔ PHẦN THỰC PHẨM NANOFOOD,"thôn đồng vàng, Xã Phú Mãn, Huyện Quốc Oai, Thành phố Hà Nội",Sản phẩm dinh dưỡng BỘT ĂN DẶM IQLAC BIOTIC VỊ DÂU TÂY-TÁO XANH,20.09.100.22710,,26-09-2020,
36128,CÔNG TY TNHH THƯƠNG MẠI DƯỢC PHẨM TRANG LY,"số 05 - g19, tập thể thành công, Phường Thành Công, Quận Ba Đình, Thành phố Hà Nội",Viên si rô Mixter Cocktail,20.09.100.22706,,26-09-2020,
36134,CÔNG TY TNHH NUTRI SMART VIỆT NAM,"Số 29, TT 33 khu đô thị Văn Phú, Phường Phú La, Quận Hà Đông, Thành phố Hà Nội",Sản phẩm dinh dưỡng NUTRISMART GLUCARE,20.09.100.22700,,25-09-2020,
36138,CÔNG TY TNHH HỮU HẠN THƯƠNG MẠI VÀ DỊCH VỤ HOA NỘI,"số 8 thôn 2, Xã Đông Dư, Huyện Gia Lâm, Thành phố Hà Nội","Chai thủy tinh dùng để đựng rượu 700ml (Nắp chai bằng gỗ, nút chai bằng nhựa TPE, thân chai bằng thủy tinh)",20.09.100.22696,,26-09-2020,
36140,Công ty Cổ phần Công nghệ và Thương mại Green Life,"tầng 3 tòa nhà noza, 243 cầu giấy, Phường Dịch Vọng, Quận Cầu Giấy, Thành phố Hà Nội",Đường HUXOL,20.09.100.22692,,25-09-2020,
36141,CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ XUẤT NHẬP KHẨU MALT MINH KIẾN,"Tầng 9 tòa nhà An Phú, số 24 Hoàng Quốc Việt, Phường Nghĩa Đô, Quận Cầu Giấy, Thành phố Hà Nội",Phụ gia thực phẩm Neelinatural Copper Chlorophyll WS 4% (L),20.09.100.22691,,25-09-2020,
36142,CÔNG TY CỔ PHẦN DƯỢC PHẨM THIÊN NGUYÊN,"lô a2 cn1 cụm công nghiệp từ liêm, Phường Minh Khai, Quận Bắc Từ Liêm, Thành phố Hà Nội","Nguyên liệu SXTP, TP chức năng VALERIAN DRY HYDROALCOHOLIC EXTRACT",20.09.100.22688,,25-09-2020,
36147,CÔNG TY TNHH XUẤT NHẬP KHẨU VÀ THƯƠNG MẠI EUREKA,"số 3, ngách 56, ngõ an sơn, đường đại la, Phường Trương Định, Quận Hai Bà Trưng, Thành phố Hà Nội",CỐC THỦY TINH,20.09.100.22681,,25-09-2020,
36151,Công ty TNHH Đức Trung,"28 hàng tre, Phường Lý Thái Tổ, Quận Hoàn Kiếm, Thành phố Hà Nội",Bát thủy tinh hiệu MP-USA Home Set,20.09.100.22675,,25-09-2020,
36153,CÔNG TY TNHH THỰC PHẨM PHÚ AN,"số 26 liền kề 14 mậu lương, Phường Kiến Hưng, Quận Hà Đông, Thành phố Hà Nội",Phụ gia thực phẩm: Hương xoài hiệu Rubicone – Rubicone Mango F222,20.09.100.22671,,28-09-2020,
36155,Công Ty TNHH XNK Nhật Minh Phương,"thôn đoài , Xã Nam Hồng, Huyện Đông Anh, Thành phố Hà Nội",Dầu Ofood Cooking Oil,20.09.100.22669,,25-09-2020,
36165,Công Ty Cổ Phần Tập Đoàn Điện Lạnh Điện Máy Việt úc,"tầng 5, toà nhà ocean park, số 1 phố đào duy anh, Phường Phương Mai, Quận Đống Đa, Thành phố Hà Nội",Máy xay nầu đa năng KG175HB1,20.09.100.22656,,24-09-2020,
36167,Công ty Cổ phần Dinh Dưỡng Y học Quốc Tế,"SỐ 26, NƠ 7A, KĐT MỚI DỊCH VỌNG, Phường Dịch Vọng, Quận Cầu Giấy, Thành phố Hà Nội",Thực phẩm bổ sung: Nước Yến sào cao cấp Nunest Ngọc Lục Bảo,20.09.100.22654,,9/10/2020,
36168,CÔNG TY TNHH DƯỢC PHẨM QUỐC TẾ AMM-GERMANY,"Số 2 Ngách 90/1/42, Tổ 9, Đường Khuyến Lương, Phường Trần Phú, Quận Hoàng Mai, Thành phố Hà Nội",Sản phẩm dinh dưỡng  BIBI KID GAIN,20.09.100.22652,,11/1/2021,Công văn xin rút hồ sơ tự công bố sản phẩm ngày 16/7/2025
36169,CÔNG TY CỔ PHẦN KỸ THUẬT MÔI TRƯỜNG HOA VIỆT,"số 35 ngõ 26 hồ tùng mậu, Phường Mai Dịch, Quận Cầu Giấy, Thành phố Hà Nội","PHỤ GIA THỰC PHẨM GLYCERINE 99,7% USP",20.09.100.22651,,24-09-2020,
36170,CÔNG TY CỔ PHẦN PHƯỚC NGUYỄN NGHỆ AN - CHI NHÁNH MIỀN BẮC,"lô 12.2 - khoảnh 21, thôn dược thượng, Xã Tiên Dược, Huyện Sóc Sơn, Thành phố Hà Nội",NƯỚC UỐNG ĐÓNG CHAI USAMBALA/VIKING,20.09.100.22649,,24-09-2020,
36171,Công ty TNHH Thực Phẩm Dinh Dưỡng Quốc Gia Goldent Food Australia,"khu xuân hà, Thị trấn Xuân Mai, Huyện Chương Mỹ, Thành phố Hà Nội",Cao xạ đen nấm lim xanh đông trùng hạ thảo hồng sâm,20.09.100.22648,,24-09-2020,cv
36176,CÔNG TY TNHH XUẤT NHẬP KHẨU NTT QUỐC TẾ,"số 31, ngách 92, ngõ 6, đường 70, tổ dân phố số 3 miêu nha, Phường Tây Mỗ, Quận Nam Từ Liêm, Thành phố Hà Nội",BỘ TRÀ BẰNG SỨ TRÁNG MEN (ACT-GP03) – CERAMIC TEA SET (ACT-GP03),20.09.100.22637,,23-09-2020,
36179,CÔNG TY CỔ PHẦN HUYỀN CHI NGỌC,"số 5, ngách 35 ngõ 214 đường nguyễn xiển, Phường Hạ Đình, Quận Thanh Xuân, Thành phố Hà Nội",Hogi Milk Nguyên Kem,20.09.100.22633,,17-03-2021,
36191,CÔNG TY CỔ PHẦN DƯỢC PHẨM TRƯỜNG THỌ BÌNH DƯƠNG,"số 10-vsip ii-a, đường số 26 kcn vsip ii-a, Phường Vĩnh Tân, Thị xã Tân Uyên, Tỉnh Bình Dương",Nguyên liệu thực phẩm Silymarine/Milk Thistle P.E,20.09.100.22621,,24-09-2020,
36192,CÔNG TY CP CÔNG NGHỆ SINH HỌC BIO LEGEND,"số 4, ngõ 172, phố vũ hữu, Phường Trung Văn, Quận Nam Từ Liêm, Thành phố Hà Nội",LB- SPOROGENES,20.09.100.22619,,29-09-2020,Công ty có công văn số 01/CV ngày 12/11/2025 v/v thu hồi bản tự công bố sản phẩm
36198,Công ty TNHH thương mại & xuất nhập khẩu Nhất Lâm,"số 376, phố xã đàn, Phường Nam Đồng, Quận Đống Đa, Thành phố Hà Nội",Váng sữa Mixxi vani Plus,20.09.100.22612,,23-09-2020,
36200,CÔNG TY TNHH V2M,"số 14 trung yên 3, Phường Trung Hoà, Quận Cầu Giấy, Thành phố Hà Nội",Khay bằng sứ,20.09.100.22610,,23-09-2020,
36206,Công Ty Cổ Phần Nguyên Liệu Dược Phẩm Quốc Tế,"số 23b, ngõ 55, phố thanh lân, Phường Thanh Trì, Quận Hoàng Mai, Thành phố Hà Nội",Nguyên liệu TPCN: Fructus zhizyphi extract (Cao khô Táo tàu),20.09.100.22597,,23-09-2020,
36218,Công ty TNHH Thương Mại Hằng Tiến,"thôn yên lũng, Xã An Khánh, Huyện Hoài Đức, Thành phố Hà Nội",NƯỚC UỐNG ĐÓNG CHAI HẰNG TIẾN PRO,20.09.100.22581,,7/11/2020,
36220,Công ty TNHH Xuất nhập khẩu Liên Phong,"tầng 3, sàn tm06, tòa nhà n01t1 khu ngoại giao đoàn, đường nguyễn văn huyên kéo dài, Phường Xuân Tảo, Quận Bắc Từ Liêm, Thành phố Hà Nội",Hộp làm kem và đựng thực phẩm,20.09.100.22577,,23-09-2020,
36223,Công Ty cổ phần Dược Phẩm Đại Y,"Tổ 31, Phường Thịnh Liệt, Quận Hoàng Mai, Thành phố Hà Nội",Thực phẩm bổ sung Kẹo ngậm Eucalyptol GT,20.09.100.22565,,22-09-2020,
36228,CÔNG TY CỔ PHẦN PARIS GÂTEAUX VIỆT NAM,"lô a2-cn7 cụm công nghiệp từ liêm, Phường Phương Canh, Quận Nam Từ Liêm, Thành phố Hà Nội",: Hương liệu trứng muối - Salted duck egg flavour CR9476(OS),20.09.100.22560,,22-09-2020,
36237,CÔNG TY TNHH SẢN XUẤT VÀ THƯƠNG MẠI RAINBOW VIỆT NAM,"Số nhà 9, Ngách 48/67 Ngô Gia Tự, Phường Việt Hưng, Quận Long Biên, Thành Phố Hà nội, Phường Việt Hưng, Quận Long Biên, Thành phố Hà Nội",Phụ gia thực phẩm – Hương liệu CARDAMON,20.09.100.22549,,25-09-2020,
36238,Công ty cổ phần Thương mại và Xuất nhập khẩu Transphar,"Thôn Quế Lâm, Xã Hiệp Thuận, Huyện Phúc Thọ, Thành phố Hà Nội",Nắp mạ nhôm,20.09.100.22546,,22-09-2020,
36239,Công ty TNHH Thương Mại M&T Việt Nam,"số nhà 4 – a12 khu tập thể đầu máy, thôn lã côi, Thị trấn Yên Viên, Huyện Gia Lâm, Thành phố Hà Nội",Bột cacao NESQUIK,20.09.100.22545,,25-09-2020,
36245,Công ty TNHH Electrolux Việt Nam,"tầng 15, tòa nhà geleximco, số 36 hoàng cầu, Phường Ô Chợ Dừa, Quận Đống Đa, Thành phố Hà Nội","NỒI CHIÊN KHÔNG DẦU – Bộ phận tiếp xúc với thực phẩm (Khay chiên, Giá đỡ)",20.09.100.22538,,22-09-2020,
36246,CÔNG TY CỔ PHẦN CÔNG NGHỆ CAO THÁI MINH,"lô cn5, khu công nghiệp thạch thất-quốc oai, Thị trấn Quốc Oai, Huyện Quốc Oai, Thành phố Hà Nội","Nguyên liệu thực phẩm, thực phẩm bảo vệ sức khỏe S3-Elebosin",20.09.100.22537,,27-10-2020,
